,user_id,total_sessions,total_views,total_carts,total_purchases,total_revenue,has_purchase
0,306441847,1,2,0,0,0.0,0
1,348609428,1,1,0,0,0.0,0
2,351866718,1,1,0,0,0.0,0
3,362699320,1,7,0,0,0.0,0
4,370076704,1,1,0,0,0.0,0
5,372118107,1,3,0,0,0.0,0
6,372804920,1,2,0,0,0.0,0
7,372944259,1,2,0,0,0.0,0
8,386070015,1,4,1,0,0.0,0
9,391615981,1,1,0,0,0.0,0
10,398064317,1,3,0,0,0.0,0
11,400972610,1,5,0,0,0.0,0
12,409686912,1,2,0,0,0.0,0
13,414175028,4,4,0,0,0.0,0
14,414824833,1,2,0,0,0.0,0
15,418056247,1,2,0,0,0.0,0
16,418226573,1,2,0,0,0.0,0
17,420339201,1,1,0,0,0.0,0
18,421257570,1,1,0,0,0.0,0
19,424357361,1,1,0,0,0.0,0
20,428099415,2,3,0,0,0.0,0
21,434894256,1,2,0,0,0.0,0
22,438919966,1,3,0,0,0.0,0
23,439736599,1,1,0,0,0.0,0
24,439792996,1,11,0,0,0.0,0
25,441518854,1,2,0,0,0.0,0
26,442188017,1,1,0,0,0.0,0
27,443779465,1,1,0,0,0.0,0
28,444990139,1,1,0,0,0.0,0
29,445162060,2,7,0,0,0.0,0
30,445306726,1,1,0,0,0.0,0
31,448730751,1,1,0,0,0.0,0
32,450756413,1,21,0,0,0.0,0
33,451508091,1,1,0,0,0.0,0
34,452859779,2,3,2,0,0.0,0
35,455441109,1,2,0,0,0.0,0
36,456364940,1,1,0,0,0.0,0
37,457035150,1,1,0,0,0.0,0
38,457360398,1,13,0,1,51.46,1
39,458126552,1,3,0,0,0.0,0
40,459555560,3,24,0,0,0.0,0
41,460690368,1,13,0,0,0.0,0
42,461597049,1,2,0,0,0.0,0
43,462745712,1,1,0,0,0.0,0
44,463264821,1,1,0,0,0.0,0
45,463389113,1,1,0,0,0.0,0
46,463517957,1,1,0,0,0.0,0
47,463570586,3,12,0,0,0.0,0
48,464569119,1,3,0,0,0.0,0
49,464590906,1,2,0,0,0.0,0
50,464933860,1,4,0,0,0.0,0
51,466416731,1,1,0,0,0.0,0
52,466923158,2,3,0,0,0.0,0
53,471678665,1,1,0,0,0.0,0
54,471785689,1,1,0,0,0.0,0
55,472704676,1,1,0,0,0.0,0
56,472886914,1,1,0,0,0.0,0
57,473073417,1,1,0,0,0.0,0
58,473536891,2,3,0,0,0.0,0
59,474416987,1,1,0,0,0.0,0
60,474832046,1,1,0,0,0.0,0
61,474967396,1,5,0,0,0.0,0
62,476298587,1,1,0,0,0.0,0
63,476509207,1,1,0,0,0.0,0
64,476935833,2,2,0,0,0.0,0
65,477121012,1,1,0,0,0.0,0
66,478756812,1,9,0,0,0.0,0
67,478876800,1,3,0,0,0.0,0
68,479233261,1,9,0,0,0.0,0
69,480112030,2,25,0,0,0.0,0
70,480631967,1,1,0,0,0.0,0
71,481199938,1,2,0,0,0.0,0
72,481263361,1,2,0,0,0.0,0
73,481764679,1,3,0,0,0.0,0
74,482136003,1,4,0,0,0.0,0
75,483200258,1,1,0,0,0.0,0
76,484104478,1,2,0,0,0.0,0
77,484760693,1,2,0,0,0.0,0
78,485042717,1,20,0,0,0.0,0
79,485580346,1,1,0,0,0.0,0
80,486126757,1,30,0,0,0.0,0
81,486222257,1,1,0,0,0.0,0
82,486616816,1,1,0,0,0.0,0
83,486650497,1,1,0,0,0.0,0
84,487191665,2,10,0,0,0.0,0
85,487195764,1,2,0,0,0.0,0
86,487683064,1,36,0,0,0.0,0
87,488352205,1,1,0,0,0.0,0
88,488387664,1,1,0,0,0.0,0
89,489083956,2,2,0,0,0.0,0
90,489110084,1,17,0,0,0.0,0
91,489198768,1,1,0,0,0.0,0
92,489294047,1,6,0,0,0.0,0
93,489492092,1,2,0,0,0.0,0
94,489908877,1,27,0,0,0.0,0
95,490392606,1,2,0,0,0.0,0
96,490771357,1,1,0,0,0.0,0
97,490955891,1,2,0,0,0.0,0
98,491303749,1,5,0,0,0.0,0
99,491443705,1,3,0,0,0.0,0
100,492156844,1,1,0,0,0.0,0
101,492442977,1,3,0,0,0.0,0
102,492905279,1,1,0,0,0.0,0
103,493083658,1,1,0,0,0.0,0
104,494180593,1,1,0,0,0.0,0
105,494343527,1,1,0,0,0.0,0
106,494445837,1,3,0,0,0.0,0
107,496010626,1,1,0,0,0.0,0
108,496108087,1,1,0,0,0.0,0
109,496281986,1,1,0,0,0.0,0
110,496444159,1,7,0,0,0.0,0
111,496808326,1,2,0,0,0.0,0
112,496957381,1,57,0,0,0.0,0
113,497070817,5,8,0,0,0.0,0
114,497292318,1,2,0,0,0.0,0
115,497692930,1,2,0,0,0.0,0
116,498613329,1,1,0,0,0.0,0
117,499553335,1,1,0,0,0.0,0
118,499780697,1,2,0,0,0.0,0
119,499828339,1,4,0,0,0.0,0
120,499848213,2,12,0,0,0.0,0
121,500434597,1,3,0,0,0.0,0
122,500521935,2,3,0,0,0.0,0
123,500592171,2,2,0,0,0.0,0
124,501192468,1,19,0,0,0.0,0
125,501367490,3,12,0,0,0.0,0
126,501591148,1,1,0,0,0.0,0
127,501802447,1,2,0,0,0.0,0
128,502188184,2,4,0,0,0.0,0
129,502192710,1,1,0,0,0.0,0
130,502214171,1,3,0,0,0.0,0
131,502372361,1,2,0,0,0.0,0
132,502661377,1,1,0,0,0.0,0
133,502731204,1,5,0,0,0.0,0
134,502735120,1,1,0,0,0.0,0
135,503286678,1,3,0,0,0.0,0
136,503400013,1,1,0,0,0.0,0
137,503405650,1,2,0,0,0.0,0
138,503712613,1,2,0,0,0.0,0
139,503946138,1,1,0,0,0.0,0
140,504105065,1,1,0,0,0.0,0
141,504367068,1,1,0,0,0.0,0
142,504386888,2,4,0,0,0.0,0
143,504429960,1,44,0,1,275.66,1
144,504703997,1,2,0,0,0.0,0
145,504944278,1,12,0,0,0.0,0
146,505769120,1,1,0,0,0.0,0
147,505913959,1,1,0,0,0.0,0
148,506395116,1,1,0,0,0.0,0
149,506661592,1,1,0,0,0.0,0
150,506690497,1,1,0,0,0.0,0
151,506835665,3,3,0,0,0.0,0
152,506983530,1,2,0,0,0.0,0
153,507004334,1,1,0,0,0.0,0
154,507412213,3,8,0,0,0.0,0
155,507564181,1,1,0,0,0.0,0
156,508225538,1,3,0,0,0.0,0
157,508888222,1,2,0,0,0.0,0
158,509481306,1,1,0,0,0.0,0
159,509498541,1,1,0,0,0.0,0
160,509583615,2,8,0,0,0.0,0
161,510342327,3,7,0,0,0.0,0
162,510772226,1,2,0,0,0.0,0
163,510793353,1,2,0,0,0.0,0
164,511314220,1,1,0,0,0.0,0
165,511460516,1,1,0,0,0.0,0
166,511760465,1,2,0,0,0.0,0
167,512313473,1,7,0,0,0.0,0
168,512363659,1,10,0,0,0.0,0
169,512363681,2,5,0,0,0.0,0
170,512363879,1,6,0,0,0.0,0
171,512363931,1,17,0,0,0.0,0
172,512363992,1,3,0,0,0.0,0
173,512363994,1,5,0,0,0.0,0
174,512364193,1,8,0,0,0.0,0
175,512364242,1,17,0,0,0.0,0
176,512364422,1,7,0,0,0.0,0
177,512364479,1,3,0,0,0.0,0
178,512364693,1,13,0,0,0.0,0
179,512365063,1,29,0,0,0.0,0
180,512365460,1,1,0,0,0.0,0
181,512365496,1,3,0,1,1415.48,1
182,512365869,1,1,0,0,0.0,0
183,512366249,1,2,0,0,0.0,0
184,512366600,1,3,0,0,0.0,0
185,512366656,1,1,0,0,0.0,0
186,512366672,1,1,0,0,0.0,0
187,512366925,1,2,0,0,0.0,0
188,512366996,1,5,0,0,0.0,0
189,512367071,1,2,0,0,0.0,0
190,512367362,1,32,0,0,0.0,0
191,512367412,1,1,0,0,0.0,0
